Order_ID,Product_ID,Product_Name,Category,Supplier,Warehouse,Country,Region,Customer,Order_Date,Shipment_Date,Delivery_Date,Quantity,Unit_Price,Cost,Revenue,Profit,Shipping_Cost,Transportation_Mode,Inventory_Level,Reorder_Point,Lead_Time,Demand,Sales,Discount,Order_Status,Delay_Days,Returned,Customer_Rating,Season,Month,Year
ORD100000,P1038,Breakfast Cereal,Grocery,Supplier_Nova,Warehouse_North_01,France,Europe,CUST003999,2022-01-01 00:09:40,2022-01-01 00:09:40,2022-01-16 00:09:40,188,1229.33,130210.68,173335.53,42992.21,132.64,Air,3603,440,15.0,259,344016.61,0.25,Delivered,0,Yes,5.0,Winter,1,2022
ORD100001,P1051,Dash Camera,Automotive,Supplier_Titan,Warehouse_West_01,USA,North America,CUST011648,2022-01-01 00:54:12,2022-01-02 00:54:12,2022-01-10 00:54:12,166,1243.09,167988.68,206352.94,38337.7,26.56,Sea,374,549,8.0,183,227069.84,0.0,Shipped,0,No,4.3,Winter,1,2022
ORD100002,P1028,Study Desk,Furniture,Supplier_Atlas,Warehouse_Central_02,India,Asia,CUST006512,2022-01-01 01:48:15,2022-01-03 01:48:15,2022-01-07 01:48:15,162,886.92,97781.58,122128.88,24285.69,61.61,Sea,4424,84,2.0,149,130769.91,0.15,Processing,2,No,4.7,Winter,1,2022
ORD100003,P1014,Formal Shirt,Apparel,Supplier_Zenith,Warehouse_North_01,Italy,Europe,CUST009877,2022-01-01 02:01:10,2022-01-02 02:01:10,2022-01-13 02:01:10,144,1066.54,86297.76,145902.67,59554.49,50.42,Sea,4429,321,10.0,206,210181.86,0.05,Processing,1,No,3.9,Winter,1,2022
ORD100004,P1042,Hair Dryer,Health & Beauty,Supplier_Meridian,Warehouse_Central_02,Brazil,South America,CUST011728,2022-01-01 03:08:49,2022-01-02 03:08:49,2022-01-25 03:08:49,49,701.33,28393.05,34365.17,5966.07,6.05,Rail,260,455,23.0,50,32656.6,0.0,Shipped,0,No,4.3,Winter,1,2022
ORD100005,P1007,Gaming Console,Electronics,Supplier_Meridian,Warehouse_South_02,Mexico,North America,CUST006447,2022-01-01 03:59:49,2022-01-04 03:59:49,2022-01-17 03:59:49,84,1145.58,65851.8,96228.72,30355.84,21.08,Road,2971,797,13.0,90,94851.88,0.0,Delivered,0,No,3.0,Winter,1,2022
ORD100006,P1020,Non-stick Cookware Set,Home & Kitchen,Supplier_Atlas,Warehouse_North_02,South Africa,Africa,CUST001725,2022-01-01 05:15:21,2022-01-01 05:15:21,2022-01-03 05:15:21,77,264.81,16584.26,17331.81,663.89,83.66,Road,2935,648,2.0,115,27656.83,0.15,Delivered,0,No,2.1,Winter,1,2022
ORD100007,P1038,Breakfast Cereal,Grocery,Supplier_Horizon,Warehouse_Central_01,Brazil,South America,CUST004684,2022-01-01 05:18:46,2022-01-02 05:18:46,2022-01-04 05:18:46,121,870.84,77685.63,105371.64,27647.49,38.52,Road,1289,578,2.0,128,106345.46,0.0,Delivered,0,No,4.9,Winter,1,2022
ORD100008,P1018,Blender Pro,Home & Kitchen,Supplier_Alpha,Warehouse_North_02,France,Europe,CUST004142,2022-01-01 06:17:22,2022-01-01 06:17:22,2022-01-11 06:17:22,20,772.35,9854.4,11585.25,1476.52,254.33,Air,2486,61,10.0,28,22770.76,0.25,Delivered,0,Yes,3.2,Winter,1,2022
ORD100009,P1022,Water Purifier,Home & Kitchen,Supplier_Vertex,Warehouse_East_02,USA,North America,CUST001785,2022-01-01 06:22:54,2022-01-04 06:22:54,2022-01-21 06:22:54,10,1471.0,11272.6,13974.5,2650.39,51.51,Sea,1245,392,17.0,11,16807.79,0.05,Cancelled,0,No,3.0,Winter,1,2022
ORD100010,P1010,Running Shoes,Apparel,Supplier_Beta,Warehouse_South_02,China,Asia,CUST010615,2022-01-01 06:36:42,2022-01-01 06:36:42,2022-01-20 06:36:42,65,902.72,45923.8,58676.8,12737.07,15.93,Road,884,687,18.0,62,53819.52,0.0,Processing,1,No,4.4,Winter,1,2022
